
MARSEILLE;3400;1012
ST SAUVEUR;3043;350
STE COLOMBE;2789;113
SALLES;2151;382
LE PIN;2103;27
BEAULIEU;1998;25
MONS;1942;74
ST MICHEL;1909;168
ANDILLY;1900;417
ST LEGER;1820;44
ST CHRISTOPHE;1816;12
ST MARCEL;1812;68
STE RADEGONDE;1740;26
ST LOUP;1734;12
ST PAUL;1731;21
FLOIRAC;1685;249
VILLENEUVE;1666;25
ST REMY;1661;14
ST GILLES;1633;205
ST JUST;1630;82
STE GEMME;1611;28
ST HIPPOLYTE;1582;12
ST GERVAIS;1579;109
ST SYMPHORIEN;1579;17
BEAUMONT;1563;16
ANGLES;1557;227
APREMONT;1503;50
ST CLEMENT;1487;21
VERRIERES;1469;24
MAZEROLLES;1460;16
COLOMBIERS;1452;77
STE HELENE;1444;149
MONTAUT;1441;88
ST JULIEN;1426;61
ST MARTIAL;1412;12
CHAMPEAUX;1396;222
PARIS;1395;22
ST AUBIN;1384;22
ST LAURENT;1381;40
ST BRICE;1365;21
ST PIERRE;1365;91
ST AUGUSTIN;1349;263
ST JULIEN BEYCHEVELLE;1340;366
LYON;1325;10
CISSAC MEDOC;1317;339
ST FELIX;1315;13
COMPS;1312;67
LA CHAPELLE;1311;187
ST SIGISMOND;1297;65
BESSE;1295;111
ST GEORGES DE DIDONNE;1282;304
ST JEAN D ILLAC;1269;359
ST AVIT;1264;12
CHAMPAGNE;1261;133
LAMARQUE;1259;314
ST MEDARD;1254;20
CHATEAUNEUF;1248;44
ST FROULT;1244;314
BELLEFONTAINE;1232;233
ST SULPICE;1231;10
LA ROCHETTE;1226;30
LA BOISSIERE;1222;25
BRION;1216;12
PERIGNY;1206;30
MOULIS EN MEDOC;1204;339
ST JEAN D ANGLE;1196;257
ST JUST LUZAC;1194;264
ST SATURNIN;1187;10
ROYAN;1181;281
ST GEORGES;1171;24
STE AGNES;1158;219
CAUMONT;1158;16
STE CROIX;1158;17
ST ANDRE;1153;56
ST AIGNAN;1147;43
MIOS;1146;306
STE MARIE;1145;21
ST CREPIN;1138;145
SAUVETERRE;1130;35
FONTANES;1129;12
STE EULALIE;1128;4
AYTRE;1128;279
FOURAS;1124;258
STE FOY;1118;104
LESPARRE MEDOC;1117;264
LA JARNE;1117;233
ANGOULINS;1115;277
LE TEICH;1114;308
MARENNES HIERS BROUAGE;1114;266
CHATELAILLON PLAGE;1113;267
LIPOSTHEY;1111;291
LE CHAY;1111;218
BELMONT;1109;14
L AIGUILLON LA PRESQU ILE;1107;247
ST SORNIN;1104;6
GENERAC;1104;132
JONQUIERES;1093;13
ST HILAIRE;1090;11
AUDENGE;1089;273
BEAUVOIR;1083;88
LANTON;1083;297
FERRIERES;1078;81
VERTHEUIL;1074;199
CIVRAC EN MEDOC;1071;234
LISTRAC MEDOC;1065;291
PUYRAVAULT;1064;57
CHANTELOUP;1064;40
SERVON;1061;218
ST MICHEL EN L HERM;1059;221
BUSSIERES;1057;10
YCHOUX;1051;276
LA GARDE;1048;114
BIAS;1044;272
MERIGNAC;1041;7
CELLES;1038;14
BALLON;1036;197
CHENAC ST SEURIN D UZET;1034;140
PARENTIS EN BORN;1034;255
THIL;1033;98
